Numero RCL,Inscricao Imobiliaria,Tipo Lancamento  (1-Normal 2-Complementar),Exercicio
30466932023,99991049420000000,1,2023
30466962023,99990029780000000,1,2023
30372582023,99990126800000000,1,2023
30424272023,99991049270000000,1,2023
30227652023,99990218400010000,1,2023
30446422023,99990920300010000,1,2023
30425152023,99990504660220000,1,2023
30446262023,99990835420050000,1,2023
30453282023,99990335330070000,1,2023
30423682023,99990503040130000,1,2023
30437882023,99990569720630000,1,2023
30405152023,99990491410070000,1,2023
30416742023,99991041630000000,1,2023
30446632023,99990857841570000,1,2023
30447232023,99991096950000000,1,2023
30239442023,99990534170080000,1,2023
30239312023,99990534170100000,1,2023
30449832023,99990112780000000,1,2023
30450292023,99990046340000000,1,2023
30477042023,99991041380000000,1,2023
30476302023,99990644512650000,1,2023
30476772023,99990539620000000,1,2023
30476172023,99990578560440000,1,2023
30454922023,99991031750000000,1,2023
30449842023,99990808700000000,1,2023
30475122023,99990878010150000,1,2023
30452972023,99990335330060000,1,2023
30453372023,99990335330080000,1,2023
30453472023,99990335330090000,1,2023
30466542023,99990601452440000,1,2023
30464362023,99990559330510000,1,2023
30453552023,99990335330100000,1,2023
30455212023,99990802900030000,1,2023
30455172023,99990802940020000,1,2023
30460072023,99990980400030000,1,2023
30458572023,99990549920030000,1,2023
30458442023,99990991980000000,1,2023
30476312023,99990299790000000,1,2023
30483282023,99990497320030000,1,2023
30473492023,99990559940020000,1,2023
30495622023,99990955040000000,1,2023
30484582023,99990843052900000,1,2023
30483902023,99990582830370000,1,2023
30483872023,99990341020000000,1,2023
30497892023,99990270950020000,1,2023
30485712023,99990512320010000,1,2023
30484662023,99990843052910000,1,2023
30415382023,99990065310000000,1,2023
30415122023,99990065300000000,1,2023
30409912023,99990065280000000,1,2023
30257372023,99990739370010000,1,2023
30260902023,99990843590290000,1,2023
30496132023,99990354620040000,1,2023
30493652023,99990854510000000,1,2023
30493352023,99990992840000000,1,2023
30494282023,99991111590000000,1,2023
30311662023,99991040900000000,1,2023
30494162023,99990525520000000,1,2023
30499332023,99990979800010000,1,2023
30422402023,99991131250000000,1,2023
30496842023,99990310970020000,1,2023
30423882023,99990951520000000,1,2023
30424962023,99990954320000000,1,2023
30423222023,99990491120060000,1,2023
30423132023,99990491120070000,1,2023
30432002023,99991191480000000,1,2023
30440092023,99990381820080000,1,2023
30431132023,99990244510010000,1,2023
30424562023,99991014750000000,1,2023
30419002023,99990425580010000,1,2023
30407682023,99990065270020000,1,2023
30433842023,99990642530050000,1,2023
30323662023,99990218630010000,1,2023
30307872023,99990623080000000,1,2023
30381662023,99990623020000000,1,2023
30498262023,99991077370000000,1,2023
30454442023,99991165460010000,1,2023
30454652023,99990835360090000,1,2023
30455422023,99990835360080000,1,2023
30460642023,99990335310070000,1,2023
30460442023,99990335310060000,1,2023
30460772023,99990335310080000,1,2023
30372562023,99990753700000000,1,2023
30466342023,99990943730000000,1,2023
30463902023,99991054240000000,1,2023
30497372023,99990543267170000,1,2023
30433382023,99990959930000000,1,2023
30372522023,99990126800020000,1,2023
30371622023,99990126790000000,1,2023
30460872023,99990335310090000,1,2023
30415572023,99991095680000000,1,2023
30412482023,99990009160000000,1,2023
30487812023,99990295240030000,1,2023
30487682023,99990295240090000,1,2023
30485182023,99990502020010000,1,2023
30498152023,99990487300070000,1,2023
30498702023,99990903640000000,1,2023
30487872023,99990512600100000,1,2023
30499542023,99990148300060000,1,2023
30499042023,99990065020000000,1,2023
30491312023,99990123740070000,1,2023
30496772023,99990578560470000,1,2023
30206572023,99990637120760000,1,2023
30483222023,99990951230000000,1,2023
30496082023,99990851130040000,1,2023
30499582023,99990442990030000,1,2023
30474542023,99990504660240000,1,2023
30496852023,99990851130060000,1,2023
30481752023,99990129970000000,1,2023
30302212023,99990162731910000,1,2023
30201262023,99990905920010000,1,2023
30496402023,99990566451250000,1,2023
30477152023,99991033260000000,1,2023
30485992023,99991032440000000,1,2023
30500242023,99990256850050000,1,2023
30305402023,99990554160000000,1,2023
30502862023,99990578560390000,1,2023
30494242023,99990128540000000,1,2023
30485672023,99990003080000000,1,2023
30215122023,99990359820240000,1,2023
30469062023,99990725520120000,1,2023
30502242023,99990697040130000,1,2023
30393162023,99990922910000000,1,2023
30393162023,99990922910010000,1,2023
80624952023,99990575160030000,1,2023
80624952023,99990575160040000,1,2023
80624952023,99990579200220000,1,2023
80624952023,99990579200240000,1,2023
80624952023,99990579200250000,1,2023
80624952023,99990579200230000,1,2023
80624952023,99990579560310000,1,2023
30371962023,99990523170090000,1,2023
30371692023,99991047530000000,1,2023
30487112023,99990512600070000,1,2023
30487182023,99990512600040000,1,2023
30487342023,99990512600130000,1,2023
30487432023,99990295240060000,1,2023
30498652023,99990960100000000,1,2023
30499102023,99990171580000000,1,2023
30499102023,99990171580020000,1,2023
30494152023,99990128540010000,1,2023
30179782023,99991252430000000,1,2023
30179782023,99991252440000000,1,2023
30179782023,99991252450000000,1,2023
30179782023,99991252460000000,1,2023
30179782023,99991252470000000,1,2023
30179782023,99991252480000000,1,2023
30179782023,99991252490000000,1,2023
30179782023,99991252500000000,1,2023
30179782023,99991252510000000,1,2023
30179782023,99991252520000000,1,2023
30179782023,99991252530000000,1,2023
30179782023,99991252540000000,1,2023
30179782023,99991252550000000,1,2023
30179782023,99991252560000000,1,2023
30179782023,99991252570000000,1,2023
30179782023,99991252580000000,1,2023
30179782023,99991252590000000,1,2023
30179782023,99991252600000000,1,2023
30179782023,99991252610000000,1,2023
30179782023,99991252620000000,1,2023
30179782023,99991252630000000,1,2023
30179782023,99991252640000000,1,2023
30179782023,99991252650000000,1,2023
30179782023,99991252660000000,1,2023
30179782023,99991252670000000,1,2023
30179782023,99991252680000000,1,2023
30179782023,99991252690000000,1,2023
30179782023,99991252700000000,1,2023
30179782023,99991252710000000,1,2023
30179782023,99991252720000000,1,2023
30179782023,99991252730000000,1,2023
30179782023,99991252740000000,1,2023
30179782023,99991252750000000,1,2023
30179782023,99991252760000000,1,2023
30179782023,99991252770000000,1,2023
30179782023,99991252780000000,1,2023
30179782023,99991252790000000,1,2023
30179782023,99991252800000000,1,2023
30179782023,99991252810000000,1,2023
30179782023,99991252820000000,1,2023
30179782023,99991252830000000,1,2023
30179782023,99991252840000000,1,2023
30179782023,99991252850000000,1,2023
30179782023,99991252860000000,1,2023
30179782023,99991252870000000,1,2023
30179782023,99991252880000000,1,2023
30179782023,99991252890000000,1,2023
30179782023,99991252900000000,1,2023
30179782023,99991252910000000,1,2023
30179782023,99991252920000000,1,2023
30179782023,99991252930000000,1,2023
30179782023,99991252940000000,1,2023
30179782023,99991252950000000,1,2023
30179782023,99991252960000000,1,2023
30179782023,99991252970000000,1,2023
30179782023,99991252980000000,1,2023
30179782023,99991252990000000,1,2023
30179782023,99991253000000000,1,2023
30179782023,99991253010000000,1,2023
30179782023,99991253020000000,1,2023
30179782023,99991253030000000,1,2023
30179782023,99991253040000000,1,2023
30179782023,99991253050000000,1,2023
30179782023,99991253060000000,1,2023
30179782023,99991253070000000,1,2023
30179782023,99991253080000000,1,2023
30179782023,99991253090000000,1,2023
30179782023,99991253100000000,1,2023
30179782023,99991253110000000,1,2023
30179782023,99991253120000000,1,2023
30179782023,99991253130000000,1,2023
30179782023,99991253140000000,1,2023
30179782023,99991253150000000,1,2023
30179782023,99991253160000000,1,2023
30179782023,99991253170000000,1,2023
30179782023,99991253180000000,1,2023
30179782023,99991253190000000,1,2023
30179782023,99991253200000000,1,2023
30179782023,99991253210000000,1,2023
30179782023,99991253220000000,1,2023
30179782023,99991253230000000,1,2023
30179782023,99991253240000000,1,2023
30179782023,99991253250000000,1,2023
30179782023,99991253260000000,1,2023
30179782023,99991253270000000,1,2023
30179782023,99991253280000000,1,2023
30179782023,99991253290000000,1,2023
30179782023,99991253300000000,1,2023
30179782023,99991253310000000,1,2023
30179782023,99991253320000000,1,2023
30179782023,99991253330000000,1,2023
30179782023,99991253340000000,1,2023
30179782023,99991253350000000,1,2023
30179782023,99991253360000000,1,2023
30179782023,99991253370000000,1,2023
30179782023,99991253380000000,1,2023
30179782023,99991253390000000,1,2023
30179782023,99991253400000000,1,2023
30179782023,99991253410000000,1,2023
30179782023,99991253420000000,1,2023
30179782023,99991253430000000,1,2023
30179782023,99991253440000000,1,2023
30179782023,99991253450000000,1,2023
30179782023,99991253460000000,1,2023
30179782023,99991253470000000,1,2023
30179782023,99991253480000000,1,2023
30179782023,99991253490000000,1,2023
30179782023,99991253500000000,1,2023
30179782023,99991253510000000,1,2023
30179782023,99991253520000000,1,2023
30179782023,99991253530000000,1,2023
30179782023,99991253540000000,1,2023
30179782023,99991253550000000,1,2023
30179782023,99991253560000000,1,2023
30179782023,99991253570000000,1,2023
30179782023,99991253580000000,1,2023
30179782023,99991253590000000,1,2023
30179782023,99991253600000000,1,2023
30179782023,99991253610000000,1,2023
30179782023,99991253620000000,1,2023
30179782023,99991253630000000,1,2023
30179782023,99991253640000000,1,2023
30179782023,99991253650000000,1,2023
30179782023,99991253660000000,1,2023
30179782023,99991253670000000,1,2023
30179782023,99991253680000000,1,2023
30179782023,99991253690000000,1,2023
30179782023,99991253700000000,1,2023
30179782023,99991253710000000,1,2023
30179782023,99991253720000000,1,2023
30179782023,99991253730000000,1,2023
30179782023,99991253740000000,1,2023
30179782023,99991253750000000,1,2023
30179782023,99991253760000000,1,2023
30179782023,99991253770000000,1,2023
30179782023,99991253780000000,1,2023
30179782023,99991253790000000,1,2023
30179782023,99991253800000000,1,2023
30179782023,99991253810000000,1,2023
30179782023,99991253820000000,1,2023
30179782023,99991253830000000,1,2023
30179782023,99991253840000000,1,2023
30179782023,99991253850000000,1,2023
30179782023,99991253860000000,1,2023
30179782023,99991253870000000,1,2023
30179782023,99991253880000000,1,2023
30179782023,99991253890000000,1,2023
30179782023,99991253900000000,1,2023
30179782023,99991253910000000,1,2023
30179782023,99991253920000000,1,2023
30179782023,99991253930000000,1,2023
30179782023,99991253940000000,1,2023
30179782023,99991253950000000,1,2023
30179782023,99991253960000000,1,2023
30179782023,99991253970000000,1,2023
30179782023,99991253980000000,1,2023
30179782023,99991253990000000,1,2023
30179782023,99991254000000000,1,2023
30179782023,99991254010000000,1,2023
30179782023,99991254020000000,1,2023
30179782023,99991254030000000,1,2023
30179782023,99991254040000000,1,2023
30179782023,99991254050000000,1,2023
30179782023,99991254060000000,1,2023
30179782023,99991254070000000,1,2023
30179782023,99991254080000000,1,2023
30179782023,99991254090000000,1,2023
30179782023,99991254100000000,1,2023
30179782023,99991254110000000,1,2023
30179782023,99991254120000000,1,2023
30179782023,99991254130000000,1,2023
30179782023,99991254140000000,1,2023
30179782023,99991254150000000,1,2023
30179782023,99991254160000000,1,2023
30179782023,99991254170000000,1,2023
30179782023,99991254180000000,1,2023
30179782023,99991254190000000,1,2023
30179782023,99991254200000000,1,2023
30179782023,99991254210000000,1,2023
30179782023,99991254220000000,1,2023
30179782023,99991254230000000,1,2023
30179782023,99991254240000000,1,2023
30179782023,99991254250000000,1,2023
30179782023,99991254260000000,1,2023
30179782023,99991254270000000,1,2023
30179782023,99991254280000000,1,2023
30179782023,99991254290000000,1,2023
30179782023,99991254300000000,1,2023
30179782023,99991254310000000,1,2023
30179782023,99991254320000000,1,2023
30179782023,99991254330000000,1,2023
30179782023,99991254340000000,1,2023
30179782023,99991254350000000,1,2023
30179782023,99991254360000000,1,2023
30179782023,99991254370000000,1,2023
30179782023,99991254380000000,1,2023
30179782023,99991254390000000,1,2023
30179782023,99991254400000000,1,2023
30179782023,99991254410000000,1,2023
30179782023,99991254420000000,1,2023
30179782023,99991254430000000,1,2023
30179782023,99991254440000000,1,2023
30179782023,99991254450000000,1,2023
30179782023,99991254460000000,1,2023
30179782023,99991254470000000,1,2023
30179782023,99991254480000000,1,2023
30179782023,99991254490000000,1,2023
30179782023,99991254500000000,1,2023
30179782023,99991254510000000,1,2023
30179782023,99991254520000000,1,2023
30179782023,99991254530000000,1,2023
30179782023,99991254540000000,1,2023
30179782023,99991254560000000,1,2023
30179782023,99991254570000000,1,2023
30179782023,99991254580000000,1,2023
30179782023,99991254590000000,1,2023
30179782023,99991254600000000,1,2023
30179782023,99991254610000000,1,2023
30179782023,99991254620000000,1,2023
30179782023,99991254630000000,1,2023
30179782023,99991254640000000,1,2023
30179782023,99991254650000000,1,2023
30179782023,99991254660000000,1,2023
30179782023,99991254670000000,1,2023
30179782023,99991254680000000,1,2023
30179782023,99991254690000000,1,2023
30179782023,99991254700000000,1,2023
30179782023,99991254710000000,1,2023
30179782023,99991254720000000,1,2023
30179782023,99991254730000000,1,2023
30179782023,99991254740000000,1,2023
30179782023,99991254750000000,1,2023
30179782023,99991254760000000,1,2023
30179782023,99991254770000000,1,2023
30179782023,99991254780000000,1,2023
30179782023,99991254790000000,1,2023
30179782023,99991254800000000,1,2023
30179782023,99991254810000000,1,2023
30179782023,99991254820000000,1,2023
30179782023,99991254830000000,1,2023
30179782023,99991254840000000,1,2023
30179782023,99991254850000000,1,2023
30179782023,99991254860000000,1,2023
30179782023,99991254870000000,1,2023
30179782023,99991254880000000,1,2023
30179782023,99991254890000000,1,2023
30179782023,99991254900000000,1,2023
30179782023,99991254910000000,1,2023
30179782023,99991254920000000,1,2023
30179782023,99991254930000000,1,2023
30179782023,99991254940000000,1,2023
30179782023,99991254950000000,1,2023
30179782023,99991254960000000,1,2023
30179782023,99991254970000000,1,2023
30179782023,99991254980000000,1,2023
30179782023,99991254990000000,1,2023
30179782023,99991255000000000,1,2023
30179782023,99991255010000000,1,2023
30179782023,99991255020000000,1,2023
30179782023,99991255030000000,1,2023
30179782023,99991255040000000,1,2023
30179782023,99991255050000000,1,2023
30179782023,99991255060000000,1,2023
30179782023,99991255070000000,1,2023
30179782023,99991255080000000,1,2023
30179782023,99991255090000000,1,2023
30179782023,99991255100000000,1,2023
30179782023,99991255110000000,1,2023
30179782023,99991255120000000,1,2023
30179782023,99991255130000000,1,2023
30179782023,99991255140000000,1,2023
30179782023,99991255150000000,1,2023
30179782023,99991255160000000,1,2023
30179782023,99991255170000000,1,2023
30179782023,99991255180000000,1,2023
30179782023,99991255190000000,1,2023
30179782023,99991255200000000,1,2023
30179782023,99991255210000000,1,2023
30179782023,99991255220000000,1,2023
30179782023,99991255230000000,1,2023
30179782023,99991255240000000,1,2023
30179782023,99991255250000000,1,2023
30179782023,99991255260000000,1,2023
30179782023,99991255270000000,1,2023
30179782023,99991255280000000,1,2023
30179782023,99991255290000000,1,2023
30179782023,99991255300000000,1,2023
30179782023,99991255310000000,1,2023
30179782023,99991255320000000,1,2023
30179782023,99991255330000000,1,2023
30179782023,99991255340000000,1,2023
30179782023,99991255350000000,1,2023
30179782023,99991255360000000,1,2023
30179782023,99991255370000000,1,2023
30179782023,99991255380000000,1,2023
30179782023,99991255390000000,1,2023
30179782023,99991255400000000,1,2023
30179782023,99991255410000000,1,2023
30179782023,99991255420000000,1,2023
30179782023,99991255430000000,1,2023
30179782023,99991255440000000,1,2023
30179782023,99991255450000000,1,2023
30179782023,99991255460000000,1,2023
30179782023,99991255470000000,1,2023
30179782023,99991255480000000,1,2023
30179782023,99991255490000000,1,2023
30179782023,99991255500000000,1,2023
30179782023,99991255510000000,1,2023
30179782023,99991255520000000,1,2023
30179782023,99991255530000000,1,2023
30179782023,99991255540000000,1,2023
30179782023,99991255550000000,1,2023
30179782023,99991255560000000,1,2023
30179782023,99991255570000000,1,2023
30179782023,99991255580000000,1,2023
30179782023,99991255590000000,1,2023
30179782023,99991255600000000,1,2023
30179782023,99991255610000000,1,2023
30179782023,99991255620000000,1,2023
30179782023,99991255630000000,1,2023
30179782023,99991255640000000,1,2023
30179782023,99991255650000000,1,2023
30179782023,99991255660000000,1,2023
30179782023,99991255670000000,1,2023
30179782023,99991255680000000,1,2023
30179782023,99991255690000000,1,2023
30179782023,99991255700000000,1,2023
30179782023,99991255710000000,1,2023
30179782023,99991255720000000,1,2023
30179782023,99991255730000000,1,2023
30179782023,99991255740000000,1,2023
30179782023,99991255750000000,1,2023
30179782023,99991255760000000,1,2023
30179782023,99991255770000000,1,2023
30179782023,99991255780000000,1,2023
30179782023,99991255790000000,1,2023
30179782023,99991255800000000,1,2023
30179782023,99991255810000000,1,2023
30179782023,99991255820000000,1,2023
30179782023,99991255830000000,1,2023
30179782023,99991255840000000,1,2023
30179782023,99991255850000000,1,2023
30179782023,99991255860000000,1,2023
30179782023,99991255870000000,1,2023
30179782023,99991255880000000,1,2023
30179782023,99991255890000000,1,2023
30179782023,99991255900000000,1,2023
30179782023,99991255910000000,1,2023
30179782023,99991255920000000,1,2023
30179782023,99991255930000000,1,2023
30179782023,99991255940000000,1,2023
30179782023,99991255950000000,1,2023
30179782023,99991255960000000,1,2023
30179782023,99991255970000000,1,2023
30179782023,99991255980000000,1,2023
30179782023,99991255990000000,1,2023
30179782023,99991256000000000,1,2023
30179782023,99991256010000000,1,2023
30179782023,99991256020000000,1,2023
30179782023,99991256030000000,1,2023
30179782023,99991256040000000,1,2023
30179782023,99991256050000000,1,2023
30179782023,99991256060000000,1,2023
30179782023,99991256070000000,1,2023
30179782023,99991256080000000,1,2023
30179782023,99991256090000000,1,2023
30179782023,99991256100000000,1,2023
30179782023,99991256110000000,1,2023
30179782023,99991256120000000,1,2023
30179782023,99991256130000000,1,2023
30179782023,99991256140000000,1,2023
30179782023,99991256150000000,1,2023
30179782023,99991256160000000,1,2023
30179782023,99991256170000000,1,2023
30179782023,99991256180000000,1,2023
30179782023,99991256190000000,1,2023
30179782023,99991256200000000,1,2023
30179782023,99991256210000000,1,2023
30179782023,99991256220000000,1,2023
30179782023,99991256230000000,1,2023
30179782023,99991256240000000,1,2023
30179782023,99991256250000000,1,2023
30179782023,99991256260000000,1,2023
30179782023,99991256270000000,1,2023
30179782023,99991256280000000,1,2023
30179782023,99991256290000000,1,2023
30179782023,99991256300000000,1,2023
30179782023,99991256310000000,1,2023
30179782023,99991256320000000,1,2023
30179782023,99991256330000000,1,2023
30179782023,99991256340000000,1,2023
30179782023,99991256350000000,1,2023
30179782023,99991256360000000,1,2023
30179782023,99991256370000000,1,2023
30179782023,99991256380000000,1,2023
30179782023,99991256390000000,1,2023
30179782023,99991256400000000,1,2023
30179782023,99991256410000000,1,2023
30179782023,99991256420000000,1,2023
30179782023,99991256430000000,1,2023
30179782023,99991256440000000,1,2023
30179782023,99991256450000000,1,2023
30179782023,99991256460000000,1,2023
30179782023,99991256470000000,1,2023
30179782023,99991256480000000,1,2023
30179782023,99991256490000000,1,2023
30179782023,99991256500000000,1,2023
30179782023,99991256520000000,1,2023
30179782023,99991256530000000,1,2023
30179782023,99991256540000000,1,2023
30179782023,99991256550000000,1,2023
30179782023,99991256560000000,1,2023
30179782023,99991256570000000,1,2023
30179782023,99991256580000000,1,2023
30179782023,99991256590000000,1,2023
30179782023,99991256700000000,1,2023
30179782023,99991256600000000,1,2023
30179782023,99991256610000000,1,2023
30179782023,99991256620000000,1,2023
30179782023,99991256630000000,1,2023
30179782023,99991256640000000,1,2023
30179782023,99991256650000000,1,2023
30179782023,99991256660000000,1,2023
30179782023,99991256670000000,1,2023
30179782023,99991256680000000,1,2023
30179782023,99991256690000000,1,2023
30179782023,99991256710000000,1,2023
30179782023,99991256720000000,1,2023
30179782023,99991256730000000,1,2023
30179782023,99991256740000000,1,2023
30179782023,99991256750000000,1,2023
30179782023,99991256760000000,1,2023
30179782023,99991256770000000,1,2023
30179782023,99991256780000000,1,2023
30179782023,99991256790000000,1,2023
30179782023,99991256800000000,1,2023
30179782023,99991256810000000,1,2023
30179782023,99991256820000000,1,2023
30179782023,99991256830000000,1,2023
30179782023,99991256840000000,1,2023
30179782023,99991256850000000,1,2023
30179782023,99991256860000000,1,2023
30179782023,99991256870000000,1,2023
30179782023,99991256880000000,1,2023
30179782023,99991256890000000,1,2023
30179782023,99991256900000000,1,2023
30179782023,99991256910000000,1,2023
30179782023,99991256920000000,1,2023
30179782023,99991256930000000,1,2023
30179782023,99991256940000000,1,2023
